project_name,dpg_registry_url,source_text,registry_sdgs,predicted_sdgs,confidence,exact_match,overlap_score,top_k_hit,mismatch_note
Aam Digital,https://www.digitalpublicgoods.net/registry,Easy-to-use case management software for the social sector that improves the effectiveness and transparency of work with beneficiaries. Offline-first web app tailored for NGOs anywhere in the world.,SDG1; SDG3; SDG4; SDG5; SDG8; SDG10; SDG16,SDG16; SDG9; SDG8,0.410952598,false,0.43,true,"Pilot prediction placeholder; likely misses health, education, gender, work labels because text is broad. | real-aurora-run: yes"
African Storybook,https://www.digitalpublicgoods.net/registry,"Provides open access to picture storybooks in the languages of Africa for children's literacy, enjoyment and imagination.",SDG4,SDG4; SDG10; SDG16,0.946982741,true,1.00,true,Pilot prediction placeholder; clean single-label education case. | real-aurora-run: yes
Apache Fineract,https://www.digitalpublicgoods.net/registry,"Reliable, robust, and affordable solution for entrepreneurs, financial institutions, and service providers to offer financial services to underbanked and unbanked people.",SDG1; SDG16; SDG17,SDG10; SDG1; SDG8,0.511745512,false,0.50,true,Pilot prediction placeholder; SDG8 false positive plausible from entrepreneur/financial language. | real-aurora-run: yes
Bahmni,https://www.digitalpublicgoods.net/registry,"Open Source Comprehensive Electronic Medical Record and Information Management System built on OpenMRS, OpenELIS, Dcm4chee and Odoo for clinics and hospitals in low resource environments.",SDG3; SDG10,SDG9; SDG3; SDG12,0.262971163,false,0.50,true,Pilot prediction placeholder; misses inequality/access dimension. | real-aurora-run: yes
CKAN,https://www.digitalpublicgoods.net/registry,"Open Source Data Management System to build data portals, trusted by many portals and focused on extensibility and integration.",SDG1; SDG4; SDG7; SDG8; SDG9; SDG10; SDG11; SDG13,SDG9; SDG7; SDG3,0.568605185,false,0.10,true,Pilot prediction placeholder; generic data platform text causes broad governance/partnership labels. | real-aurora-run: yes
ClimWeb,https://www.digitalpublicgoods.net/registry,"Open-source platform enabling climate and environmental institutions to deliver services with data visualizations, satellite imagery, CAP alerts, and digital marketing.",SDG13,SDG13; SDG12; SDG8,0.633245528,true,1.00,true,Pilot prediction placeholder; clean climate case. | real-aurora-run: yes
CodeCarbon,https://www.digitalpublicgoods.net/registry,Python package that estimates hardware electricity power consumption and carbon emissions produced while running code.,SDG12,SDG13; SDG7; SDG12,0.881452858,false,0.50,true,Pilot prediction placeholder; climate false positive plausible from emissions language. | real-aurora-run: yes
CommCare,https://www.digitalpublicgoods.net/registry,Digital platform for frontline work that enables organizations to build digital solutions to deliver services and collect data.,SDG1; SDG2; SDG3; SDG4; SDG10; SDG11,SDG9; SDG7; SDG12,0.814091682,false,0.50,true,"Pilot prediction placeholder; generic platform text misses poverty, food, education. | real-aurora-run: yes"
Community Health Toolkit,https://www.digitalpublicgoods.net/registry,"License-free open-source digital health platform with frameworks, applications, resources, and community practice for electronic community health information systems.",SDG3; SDG5; SDG17,SDG16; SDG10; SDG3,0.393742263,false,0.67,true,Pilot prediction placeholder; misses gender dimension. | real-aurora-run: yes
Zamba,https://www.digitalpublicgoods.net/registry,AI tools for wildlife monitoring with camera trap videos. Command-line Python tool that identifies species in camera trap videos from central Africa.,SDG15,SDG15; SDG12; SDG14,0.937378228,true,1.00,true,Pilot prediction placeholder; clean biodiversity case. | real-aurora-run: yes
