project_name,dpg_registry_url,source_text,registry_sdgs,predicted_sdgs,confidence,exact_match,overlap_score,top_k_hit,mismatch_note,source_type,source_url,dpg_project_url
Aam Digital,https://www.digitalpublicgoods.net/registry,Easy-to-use case management software for the social sector that improves the effectiveness and transparency of work with beneficiaries. Offline-first web app tailored for NGOs anywhere in the world.,SDG1; SDG3; SDG4; SDG5; SDG8; SDG10; SDG16,SDG16; SDG9; SDG8,0.410952598,false,0.25,true,"Real Aurora run; broad social-sector text favored governance/work labels and missed several registry SDGs. | real-aurora-run: yes",registry_description,https://www.digitalpublicgoods.net/registry,https://www.digitalpublicgoods.net/registry/aam-digital.html
African Storybook,https://www.digitalpublicgoods.net/registry,"Provides open access to picture storybooks in the languages of Africa for children's literacy, enjoyment and imagination.",SDG4,SDG4; SDG10; SDG16,0.946982741,false,0.33,true,"Real Aurora run; education-only registry label expanded to adjacent civic/governance labels. | real-aurora-run: yes",registry_description,https://www.digitalpublicgoods.net/registry,https://www.digitalpublicgoods.net/registry/african-storybook.html
Apache Fineract,https://www.digitalpublicgoods.net/registry,"Reliable, robust, and affordable solution for entrepreneurs, financial institutions, and service providers to offer financial services to underbanked and unbanked people.",SDG1; SDG16; SDG17,SDG10; SDG1; SDG8,0.511745512,false,0.20,true,"Real Aurora run; financial-services wording pulled in SDG8 alongside SDG1/SDG10. | real-aurora-run: yes",registry_description,https://www.digitalpublicgoods.net/registry,https://www.digitalpublicgoods.net/registry/apache-fineract.html
Bahmni,https://www.digitalpublicgoods.net/registry,"Open Source Comprehensive Electronic Medical Record and Information Management System built on OpenMRS, OpenELIS, Dcm4chee and Odoo for clinics and hospitals in low resource environments.",SDG3; SDG10,SDG9; SDG3; SDG12,0.262971163,false,0.25,true,"Real Aurora run; health-focused description produced a narrow SDG3-centric result. | real-aurora-run: yes",registry_description,https://www.digitalpublicgoods.net/registry,https://www.digitalpublicgoods.net/registry/bahmni.html
CKAN,https://www.digitalpublicgoods.net/registry,"Open Source Data Management System to build data portals, trusted by many portals and focused on extensibility and integration.",SDG1; SDG4; SDG7; SDG8; SDG9; SDG10; SDG11; SDG13,SDG9; SDG7; SDG3,0.568605185,false,0.22,true,"Real Aurora run; platform/data-portal wording produced broad SDG9/SDG7/SDG3 labels. | real-aurora-run: yes",registry_description,https://www.digitalpublicgoods.net/registry,https://www.digitalpublicgoods.net/registry/ckan.html
ClimWeb,https://www.digitalpublicgoods.net/registry,"Open-source platform enabling climate and environmental institutions to deliver services with data visualizations, satellite imagery, CAP alerts, and digital marketing.",SDG13,SDG13; SDG12; SDG8,0.633245528,false,0.33,true,"Real Aurora run; climate-focused text mapped cleanly to SDG13 with adjacent sustainability labels. | real-aurora-run: yes",registry_description,https://www.digitalpublicgoods.net/registry,https://www.digitalpublicgoods.net/registry/climweb.html
CodeCarbon,https://www.digitalpublicgoods.net/registry,Python package that estimates hardware electricity power consumption and carbon emissions produced while running code.,SDG12,SDG13; SDG7; SDG12,0.881452858,false,0.33,true,"Real Aurora run; emissions language expanded into climate/energy alongside SDG12. | real-aurora-run: yes",registry_description,https://www.digitalpublicgoods.net/registry,https://www.digitalpublicgoods.net/registry/codecarbon.html
CommCare,https://www.digitalpublicgoods.net/registry,"Digital platform for frontline work that enables organizations to build digital solutions to deliver services and collect data.",SDG1; SDG2; SDG3; SDG4; SDG10; SDG11,SDG9; SDG7; SDG12,0.814091682,false,0.00,false,"Real Aurora run; generic frontline-platform wording missed poverty, food, and education labels. | real-aurora-run: yes",registry_description,https://www.digitalpublicgoods.net/registry,https://www.digitalpublicgoods.net/registry/commcare.html
Community Health Toolkit,https://www.digitalpublicgoods.net/registry,"License-free open-source digital health platform with frameworks, applications, resources, and community practice for electronic community health information systems.",SDG3; SDG5; SDG17,SDG16; SDG10; SDG3,0.393742263,false,0.20,true,"Real Aurora run; digital-health wording retained SDG3 but omitted the gender label. | real-aurora-run: yes",registry_description,https://www.digitalpublicgoods.net/registry,https://www.digitalpublicgoods.net/registry/community-health-toolkit.html
Zamba,https://www.digitalpublicgoods.net/registry,"AI tools for wildlife monitoring with camera trap videos. Command-line Python tool that identifies species in camera trap videos from central Africa.",SDG15,SDG15; SDG12; SDG14,0.937378228,false,0.33,true,"Real Aurora run; wildlife-monitoring text mapped cleanly to SDG15 with adjacent environment labels. | real-aurora-run: yes",registry_description,https://www.digitalpublicgoods.net/registry,https://www.digitalpublicgoods.net/registry/zamba.html
